"136445","2","94610","Alameda_CA"
"138634","4","95350","Stanislaus_CA"
"139092","4","92673","Orange_CA"
"142198","1","96118","Sierra_CA"
"144688","1","93307","Kern_CA"
"144795","3","95336","San Joaquin_CA"
"146814","3","93737","Fresno_CA"
"148028","3","92804","Orange_CA"
"148969","3","92253","Riverside_CA"
"149913","3","92315","San Bernardino_CA"
"150276","3","91709","San Bernardino_CA"
"151667","2","96148","Placer_CA"
"152122","1","93312","Kern_CA"
"153340","3","95386","Stanislaus_CA"
"155136","2","96093","Trinity_CA"
"155485","2","95945","Nevada_CA"
"156930","3","91710","San Bernardino_CA"
"157187","3","92028","San Diego_CA"
"157395","2","93555","Kern_CA"
"157413","4","90033","Los Angeles_CA"
"158714","3","92320","Riverside_CA"
"158732","3","94539","Alameda_CA"
"160376","4","95823","Sacramento_CA"
"160747","3","92270","Riverside_CA"
"160944","4","92595","Riverside_CA"
"161207","4","91006","Los Angeles_CA"
"162207","3","93560","Kern_CA"
"162254","3","91744","Los Angeles_CA"
"163117","4","92867","Orange_CA"
"163292","4","92677","Orange_CA"
"163890","3","90043","Los Angeles_CA"
"164939","2","96145","Placer_CA"
"165818","2","92118","San Diego_CA"
"167417","2","92394","San Bernardino_CA"
"167561","3","92014","San Diego_CA"
"168027","3","93309","Kern_CA"
"169445","3","95422","Lake_CA"
"170907","3","91390","Los Angeles_CA"
"171066","3","96038","Siskiyou_CA"
"171960","2","93304","Kern_CA"
"173731","3","91764","San Bernardino_CA"
"174121","2","92656","Orange_CA"
"174300","3","95815","Sacramento_CA"
"174308","3","92102","San Diego_CA"
"174580","3","96057","Siskiyou_CA"
"175255","2","94027","San Mateo_CA"
"179471","3","95901","Yuba_CA"
"180043","3","93536","Los Angeles_CA"
"180068","3","93225","Kern_CA"
"180133","3","94025","San Mateo_CA"
"180499","4","96022","Shasta_CA"
"180685","2","92014","San Diego_CA"
"181003","3","95330","San Joaquin_CA"
"181749","3","93430","San Luis Obispo_CA"
"182144","4","95832","Sacramento_CA"
"183659","3","93555","Kern_CA"
"185036","1","92281","Imperial_CA"
"186046","3","94513","Contra Costa_CA"
"187138","4","95828","Sacramento_CA"
"188024","3","96150","El Dorado_CA"
"188391","1","94565","Contra Costa_CA"
"188601","4","95633","El Dorado_CA"
"190036","3","92120","San Diego_CA"
"190150","3","91945","San Diego_CA"
"190491","4","92648","Orange_CA"
"190680","4","92054","San Diego_CA"
"191020","2","94591","Solano_CA"
"191482","3","92025","San Diego_CA"
"191879","2","92587","Riverside_CA"
"193761","3","92019","San Diego_CA"
"194001","3","91362","Ventura_CA"
"194102","3","91911","San Diego_CA"
"194821","3","92240","Riverside_CA"
"195395","3","92009","San Diego_CA"
"196191","1","93940","Monterey_CA"
"199581","3","92252","San Bernardino_CA"
"199631","3","95682","El Dorado_CA"
"201390","3","94080","San Mateo_CA"
"203078","1","93644","Madera_CA"
"203821","2","91901","San Diego_CA"
"206414","3","94538","Alameda_CA"
"206514","3","94568","Alameda_CA"
"206614","3","94533","Solano_CA"
"207155","2","95404","Sonoma_CA"
"207309","1","95503","Humboldt_CA"
"207351","3","95519","Humboldt_CA"
"207586","4","92118","San Diego_CA"
"207602","4","92114","San Diego_CA"
"207630","3","91941","San Diego_CA"
"207845","4","95977","Nevada_CA"
"208313","2","94605","Alameda_CA"
"208687","3","93722","Fresno_CA"
"209032","3","95210","San Joaquin_CA"
"209129","3","95380","Stanislaus_CA"
"209285","1","94306","Santa Clara_CA"
"209302","4","95330","San Joaquin_CA"
"210018","4","95346","Tuolumne_CA"
"210600","2","93308","Kern_CA"
"210601","4","93301","Kern_CA"
"211003","4","93662","Fresno_CA"
"211087","3","93611","Fresno_CA"
"211987","4","93436","Santa Barbara_CA"
"212907","3","92126","San Diego_CA"
"213424","3","92223","Riverside_CA"
"213736","2","93591","Los Angeles_CA"
"218358","3","93401","San Luis Obispo_CA"
"218448","3","93444","San Luis Obispo_CA"
"220620","3","93636","Madera_CA"
"222178","3","90007","Los Angeles_CA"
"223574","4","92101","San Diego_CA"
"224463","3","92333","San Bernardino_CA"
"224813","3","92082","San Diego_CA"
"225163","3","93434","Santa Barbara_CA"
"227489","3","95842","Sacramento_CA"
"231910","2","95640","Amador_CA"
"237296","3","92651","Orange_CA"
"238414","2","93274","Tulare_CA"
"238584","2","92225","Riverside_CA"
"238825","2","91010","Los Angeles_CA"
"240791","2","94546","Alameda_CA"
"240852","3","91335","Los Angeles_CA"
"241814","3","95370","Tuolumne_CA"
"245534","1","95949","Nevada_CA"
"246945","2","93110","Santa Barbara_CA"
"247517","3","95842","Sacramento_CA"
"249130","3","95932","Colusa_CA"
"251062","2","96007","Shasta_CA"
"251912","3","90249","Los Angeles_CA"
"251917","4","92614","Orange_CA"
"256135","2","93257","Tulare_CA"
"257219","2","92028","San Diego_CA"
"258317","3","93274","Tulare_CA"
"258858","4","93263","Kern_CA"
"260134","3","92071","San Diego_CA"
"260147","4","93277","Tulare_CA"
"260206","1","93305","Kern_CA"
"260732","4","94505","Contra Costa_CA"
"261032","2","92314","San Bernardino_CA"
"261398","4","92071","San Diego_CA"
"263641","2","92065","San Diego_CA"
"267412","3","92260","Riverside_CA"
"268373","3","92544","Riverside_CA"
"269537","3","92270","Riverside_CA"
"269764","4","92866","Orange_CA"
"269815","4","93265","Tulare_CA"
"270637","4","92545","Riverside_CA"
"270638","3","92395","San Bernardino_CA"
"271505","3","90275","Los Angeles_CA"
"274022","3","95624","Sacramento_CA"
"278357","3","90265","Los Angeles_CA"
"279301","2","95045","San Benito_CA"
"281258","1","96150","El Dorado_CA"
"286736","3","92308","San Bernardino_CA"
"288228","4","92673","Orange_CA"
"292046","3","92673","Orange_CA"
"293073","4","94533","Solano_CA"
"295484","3","92253","Riverside_CA"
"295813","3","95630","Sacramento_CA"
"297899","2","92007","San Diego_CA"
"298699","3","92557","Riverside_CA"
"299327","2","90018","Los Angeles_CA"
"299571","2","92082","San Diego_CA"
"300416","3","95670","Sacramento_CA"
"300531","3","92262","Riverside_CA"
"301135","2","92336","San Bernardino_CA"
"305497","4","90016","Los Angeles_CA"
"307247","1","95540","Humboldt_CA"
"309455","4","90630","Orange_CA"
"311585","3","92308","San Bernardino_CA"
"311974","4","92708","Orange_CA"
"313382","4","92694","Orange_CA"
"318793","3","90232","Los Angeles_CA"
"319161","4","94508","Napa_CA"
"320621","3","92679","Orange_CA"
"321446","2","95127","Santa Clara_CA"
"321873","3","94306","Santa Clara_CA"
"328298","3","92399","San Bernardino_CA"
"328314","4","95322","Merced_CA"
"329067","2","92285","San Bernardino_CA"
"330268","2","93312","Kern_CA"
"330417","3","90807","Los Angeles_CA"
"330689","2","93274","Tulare_CA"
"331569","4","92804","Orange_CA"
"334980","3","90024","Los Angeles_CA"
"348679","3","93292","Tulare_CA"
"349216","3","92807","Orange_CA"
"353347","1","95437","Mendocino_CA"
"359401","4","92346","San Bernardino_CA"
"363817","2","92025","San Diego_CA"
"371286","2","91941","San Diego_CA"
"375178","2","95003","Santa Cruz_CA"
"375460","1","93460","Santa Barbara_CA"
"377624","2","92879","Riverside_CA"
"385396","4","92301","San Bernardino_CA"
"387768","2","92878","Riverside_CA"
"390419","3","90036","Los Angeles_CA"
"391072","3","94534","Solano_CA"
"398741","3","92240","Riverside_CA"
"399868","3","93722","Fresno_CA"
"400630","3","95621","Sacramento_CA"
"400898","4","93033","Ventura_CA"
"402687","4","92084","San Diego_CA"
"402934","4","92591","Riverside_CA"
"410945","3","95206","San Joaquin_CA"
"411822","2","90069","Los Angeles_CA"
"412178","3","91901","San Diego_CA"
"413255","3","91342","Los Angeles_CA"
"418091","3","95060","Santa Cruz_CA"
"418782","2","90046","Los Angeles_CA"
"420617","3","94062","San Mateo_CA"
"421021","3","94960","Marin_CA"
"421068","3","95503","Humboldt_CA"
"425070","2","96113","Lassen_CA"
"425492","3","92590","Riverside_CA"
"430698","2","95125","Santa Clara_CA"
"433551","3","92626","Orange_CA"
"439813","4","95482","Mendocino_CA"
"445014","3","90723","Los Angeles_CA"
"448181","3","95377","San Joaquin_CA"
"453456","4","94132","San Francisco_CA"
"456100","2","91791","Los Angeles_CA"
"460484","3","92407","San Bernardino_CA"
"460980","3","90069","Los Angeles_CA"
"461783","4","91737","San Bernardino_CA"
"463345","1","93555","Kern_CA"
"464864","4","94509","Contra Costa_CA"
"465595","1","92211","Riverside_CA"
"466491","4","92110","San Diego_CA"
"467147","3","92301","San Bernardino_CA"
"469698","4","92562","Riverside_CA"
"478232","3","93460","Santa Barbara_CA"
"480264","4","90077","Los Angeles_CA"
"481546","2","93108","Santa Barbara_CA"
"488632","1","90290","Los Angeles_CA"
"490496","2","95954","Butte_CA"
"495228","3","95632","Sacramento_CA"
"499577","3","91710","San Bernardino_CA"
"500695","1","90621","Orange_CA"
"502133","3","95304","San Joaquin_CA"
"508244","1","92363","San Bernardino_CA"
"512462","2","95425","Sonoma_CA"
"513308","2","96097","Siskiyou_CA"
"514547","1","95472","Sonoma_CA"
"519241","2","95228","Calaveras_CA"
